_ts_ct,events
2025-08-29 14:00:00-05:00,2531
2025-08-29 15:00:00-05:00,4475
2025-08-29 16:00:00-05:00,4154
2025-08-29 17:00:00-05:00,3770
2025-08-29 18:00:00-05:00,5955
2025-08-29 19:00:00-05:00,4941
2025-08-29 20:00:00-05:00,14636
2025-08-29 21:00:00-05:00,12157
2025-08-29 22:00:00-05:00,4132
2025-08-29 23:00:00-05:00,13229
2025-08-30 00:00:00-05:00,8992
2025-08-30 01:00:00-05:00,9098
2025-08-30 02:00:00-05:00,7296
2025-08-30 03:00:00-05:00,5125
2025-08-30 04:00:00-05:00,13461
2025-08-30 05:00:00-05:00,7742
2025-08-30 06:00:00-05:00,3774
2025-08-30 07:00:00-05:00,4390
2025-08-30 08:00:00-05:00,7105
2025-08-30 09:00:00-05:00,4395
2025-08-30 10:00:00-05:00,4112
2025-08-30 11:00:00-05:00,4583
2025-08-30 12:00:00-05:00,5906
2025-08-30 13:00:00-05:00,6698
2025-08-30 14:00:00-05:00,2540
