src_ip,events,first_seen,last_seen,bytes_to_srv,bytes_to_cli
144.202.75.221,22862,2025-08-29 19:20:40.364000+00:00,2025-08-30 19:20:34.842000+00:00,1579305.0,2101842.0
196.251.66.157,20205,2025-08-30 05:41:59.686000+00:00,2025-08-30 13:43:57.181000+00:00,0.0,0.0
196.251.66.164,20204,2025-08-30 01:02:49.577000+00:00,2025-08-30 08:13:52.368000+00:00,0.0,0.0
46.46.101.89,9498,2025-08-29 23:39:50.395000+00:00,2025-08-30 02:16:53.991000+00:00,1657596.0,1095055.0
208.67.108.93,7218,2025-08-29 19:51:47.635000+00:00,2025-08-30 19:20:32.984000+00:00,888.0,930124.0
5.181.86.95,5725,2025-08-30 09:02:07.164000+00:00,2025-08-30 09:04:12.712000+00:00,949629.0,256364.0
223.75.200.223,5162,2025-08-30 04:02:05.822000+00:00,2025-08-30 04:36:23.504000+00:00,996138.0,684832.0
115.73.213.125,4465,2025-08-29 23:09:56.660000+00:00,2025-08-30 01:39:55.671000+00:00,1559622.0,1289773.0
185.243.5.18,2576,2025-08-29 19:22:30.987000+00:00,2025-08-30 19:18:43.229000+00:00,2457.0,213335.0
77.90.153.80,1019,2025-08-29 19:23:00.812000+00:00,2025-08-30 19:19:28.160000+00:00,88922.0,138749.0
194.42.206.66,783,2025-08-29 19:28:11.478000+00:00,2025-08-30 19:20:21.956000+00:00,0.0,0.0
181.215.243.17,695,2025-08-29 19:37:46.507000+00:00,2025-08-30 19:15:40.957000+00:00,0.0,0.0
1.214.44.197,682,2025-08-29 19:45:12.032000+00:00,2025-08-30 18:54:38.377000+00:00,0.0,0.0
50.6.7.7,631,2025-08-30 17:34:15.306000+00:00,2025-08-30 17:44:58.577000+00:00,0.0,0.0
196.251.86.249,526,2025-08-29 19:20:37.341000+00:00,2025-08-29 23:06:32.065000+00:00,0.0,0.0
144.172.107.41,500,2025-08-29 19:35:24.655000+00:00,2025-08-30 19:15:57.853000+00:00,54000.0,27972.0
86.26.116.193,481,2025-08-29 19:23:30.733000+00:00,2025-08-30 19:05:17.112000+00:00,0.0,0.0
198.23.140.222,452,2025-08-29 19:23:32.016000+00:00,2025-08-30 19:20:22.880000+00:00,64488.0,590.0
37.120.172.18,425,2025-08-29 20:03:53.471000+00:00,2025-08-30 18:59:41.258000+00:00,0.0,0.0
173.199.117.55,408,2025-08-29 20:02:18.020000+00:00,2025-08-30 19:05:14.158000+00:00,99966.0,65682.0
5.253.86.23,400,2025-08-29 20:45:22.363000+00:00,2025-08-30 19:20:27.659000+00:00,198418.0,91512.0
41.59.227.213,377,2025-08-29 19:25:03.174000+00:00,2025-08-30 19:17:26.504000+00:00,0.0,0.0
3.130.96.91,342,2025-08-29 20:08:09.804000+00:00,2025-08-30 17:47:21.446000+00:00,88251.0,72915.0
5.199.133.181,339,2025-08-29 19:41:03.528000+00:00,2025-08-30 19:20:01.352000+00:00,0.0,0.0
109.205.213.117,316,2025-08-29 19:20:36.379000+00:00,2025-08-30 19:18:01.378000+00:00,96468.0,75531.0
3.134.148.59,312,2025-08-30 03:51:21.920000+00:00,2025-08-30 17:56:10.511000+00:00,74049.0,64353.0
41.59.225.83,305,2025-08-29 19:21:53.909000+00:00,2025-08-30 11:29:03.862000+00:00,0.0,0.0
3.132.23.201,301,2025-08-30 00:25:58.280000+00:00,2025-08-30 18:35:31.394000+00:00,72892.0,62238.0
102.67.139.208,296,2025-08-29 19:20:52.504000+00:00,2025-08-30 18:19:49.538000+00:00,954.0,193.0
141.78.136.1,281,2025-08-30 14:58:17.791000+00:00,2025-08-30 16:01:42.766000+00:00,66.0,396.0
172.25.0.2,281,2025-08-30 00:04:48.376000+00:00,2025-08-30 18:05:50.454000+00:00,106614.0,0.0
45.87.63.34,275,2025-08-29 19:45:08.130000+00:00,2025-08-30 19:18:05.431000+00:00,0.0,0.0
36.227.20.26,271,2025-08-30 18:37:46.630000+00:00,2025-08-30 18:39:57.458000+00:00,37842.0,38746.0
181.166.191.183,271,2025-08-29 20:22:38.347000+00:00,2025-08-29 20:24:47.326000+00:00,37838.0,40504.0
109.99.222.228,249,2025-08-29 20:18:41.435000+00:00,2025-08-30 19:06:41.774000+00:00,0.0,0.0
3.137.73.221,242,2025-08-29 19:21:17.300000+00:00,2025-08-30 18:35:22.381000+00:00,59995.0,51579.0
178.16.53.22,237,2025-08-29 19:47:37.352000+00:00,2025-08-30 19:15:03.074000+00:00,21409.0,15320.0
194.0.234.12,232,2025-08-29 19:24:00.894000+00:00,2025-08-30 09:26:06.052000+00:00,74874.0,52165.0
109.205.213.103,220,2025-08-30 01:23:35.093000+00:00,2025-08-30 19:17:03.664000+00:00,73803.0,52939.0
38.255.44.84,219,2025-08-29 19:28:48.919000+00:00,2025-08-30 18:21:26.280000+00:00,0.0,0.0
102.67.139.143,216,2025-08-29 20:05:56.405000+00:00,2025-08-30 18:54:52.346000+00:00,332.0,193.0
175.123.253.173,210,2025-08-29 19:26:01.841000+00:00,2025-08-30 19:00:50.094000+00:00,0.0,0.0
73.179.54.57,195,2025-08-29 19:37:43.567000+00:00,2025-08-30 18:25:40.383000+00:00,0.0,0.0
102.67.139.120,195,2025-08-29 20:05:55.164000+00:00,2025-08-30 19:19:58.976000+00:00,0.0,0.0
198.23.190.58,192,2025-08-30 05:27:41.198000+00:00,2025-08-30 06:07:26.166000+00:00,0.0,0.0
91.192.37.133,190,2025-08-29 20:28:40.032000+00:00,2025-08-30 19:09:58.138000+00:00,0.0,0.0
41.59.166.86,190,2025-08-29 19:36:52.166000+00:00,2025-08-30 19:11:48.731000+00:00,120.0,66.0
3.131.215.38,189,2025-08-29 22:06:01.518000+00:00,2025-08-30 17:00:40.238000+00:00,46857.0,40007.0
209.208.27.32,180,2025-08-29 19:23:16.873000+00:00,2025-08-30 19:15:13.045000+00:00,0.0,0.0
54.227.94.212,170,2025-08-29 20:07:51.774000+00:00,2025-08-30 19:04:13.354000+00:00,0.0,0.0
205.234.181.19,170,2025-08-29 20:05:13.417000+00:00,2025-08-30 18:57:03.835000+00:00,0.0,0.0
185.91.127.107,169,2025-08-30 08:34:19.853000+00:00,2025-08-30 19:15:53.836000+00:00,35664.0,28043.0
165.140.167.212,168,2025-08-29 19:39:19.159000+00:00,2025-08-30 19:03:29.517000+00:00,0.0,0.0
74.208.82.167,166,2025-08-29 19:43:12.374000+00:00,2025-08-30 18:32:43.937000+00:00,0.0,0.0
107.178.106.123,166,2025-08-29 20:55:55.646000+00:00,2025-08-30 17:43:35.203000+00:00,0.0,0.0
94.72.111.174,164,2025-08-29 19:24:17.397000+00:00,2025-08-30 19:09:03.261000+00:00,0.0,0.0
3.149.59.26,156,2025-08-30 03:51:50.867000+00:00,2025-08-30 13:04:35.589000+00:00,39659.0,35560.0
104.237.151.205,152,2025-08-30 03:53:10.974000+00:00,2025-08-30 03:55:33.103000+00:00,27848.0,18547.0
87.120.191.13,151,2025-08-30 11:40:33.033000+00:00,2025-08-30 11:43:48.569000+00:00,0.0,0.0
